month,day,hour,minute,identifier,surface_inside_face_temperature,surface_outside_face_temperature
9,1,0,0,office_2..Face0,22.956350901789598,18.0
10,1,0,0,office_2..Face0,21.27996465834261,18.0
11,1,0,0,office_2..Face0,19.816007827854932,18.0
12,1,0,0,office_2..Face0,19.01428389333391,18.0
1,1,0,0,office_2..Face1,17.666879179226378,0.4369846306014734
2,1,0,0,office_2..Face1,18.3437349117715,3.6844980645156653
3,1,0,0,office_2..Face1,19.01916621212241,7.74130755336735
4,1,0,0,office_2..Face1,19.944818498589136,12.597894391968897
5,1,0,0,office_2..Face1,22.02261037752066,19.216992801775625
6,1,0,0,office_2..Face1,23.335465962721223,22.972271519368515
7,1,0,0,office_2..Face1,24.827886006915477,27.87473814553527
8,1,0,0,office_2..Face1,24.33390303912828,26.262378076958317
9,1,0,0,office_2..Face1,22.86625412967254,22.630972929778494
10,1,0,0,office_2..Face1,20.94992024297402,16.37364641276175
11,1,0,0,office_2..Face1,19.237454875228043,10.064673994966585
12,1,0,0,office_2..Face1,18.275229099315982,5.627042009977675
1,1,0,0,office_2..Face1_Glz0,11.370447212105407,1.491991561842144
2,1,0,0,office_2..Face1_Glz0,12.789420423592954,3.8118955657842033
3,1,0,0,office_2..Face1_Glz0,14.647655955759399,7.527937786522103
4,1,0,0,office_2..Face1_Glz0,16.89445886211424,11.687507060998557
5,1,0,0,office_2..Face1_Glz0,20.57844266297084,17.559996690646955
6,1,0,0,office_2..Face1_Glz0,22.8197283670508,21.0230839474319
7,1,0,0,office_2..Face1_Glz0,25.438358355377517,25.066148426059343
8,1,0,0,office_2..Face1_Glz0,24.517937976628893,23.601666046463937
9,1,0,0,office_2..Face1_Glz0,22.193006226570173,20.2482380850461
10,1,0,0,office_2..Face1_Glz0,18.729430971587124,14.860701956789667
11,1,0,0,office_2..Face1_Glz0,15.509716315766228,9.586011209688959
12,1,0,0,office_2..Face1_Glz0,13.3193262660433,5.636798379363683
1,1,0,0,office_2..Face2,18.053934690827177,17.878799859098166
2,1,0,0,office_2..Face2,18.68475674001098,18.53597615733006
3,1,0,0,office_2..Face2,19.290865563891092,19.160871133002576
4,1,0,0,office_2..Face2,20.13125567497751,20.02405771221604
5,1,0,0,office_2..Face2,22.096500551121196,21.984035593223478
6,1,0,0,office_2..Face2,23.359437159551508,23.262282441836213
7,1,0,0,office_2..Face2,24.783903479640987,24.722511011064213
8,1,0,0,office_2..Face2,24.301499825102127,24.221534195805386
9,1,0,0,office_2..Face2,22.860510351673938,22.75775952067572
10,1,0,0,office_2..Face2,21.02109822641584,20.869720138949372
11,1,0,0,office_2..Face2,19.423650683658494,19.2743693714801
12,1,0,0,office_2..Face2,18.542399526213924,18.387872961919918
1,1,0,0,office_2..Face3,18.18621333725339,18.29724026586801
2,1,0,0,office_2..Face3,18.720520903302038,18.619499174157895
3,1,0,0,office_2..Face3,19.275307451732743,19.06834473698602
4,1,0,0,office_2..Face3,20.020611980160417,19.619731036649853
5,1,0,0,office_2..Face3,21.90972828886482,21.32394695203126
6,1,0,0,office_2..Face3,23.137804738035275,22.483290918322957
7,1,0,0,office_2..Face3,24.506516172870477,23.748011925674938
8,1,0,0,office_2..Face3,24.042325799511605,23.31275385631122
9,1,0,0,office_2..Face3,22.655113458030026,22.030282000039588
10,1,0,0,office_2..Face3,20.884100321815833,20.383944277090645
11,1,0,0,office_2..Face3,19.410842251242414,19.201257228849904
12,1,0,0,office_2..Face3,18.61253586567668,18.591063040434854
1,1,0,0,office_2..Face4,18.199222545794118,18.30367536005883
2,1,0,0,office_2..Face4,18.729671079888988,18.627038909581266
3,1,0,0,office_2..Face4,19.28117590960012,19.075468227603334
4,1,0,0,office_2..Face4,20.021309683181887,19.6262424768096
5,1,0,0,office_2..Face4,21.90660860580505,21.332126385986044
6,1,0,0,office_2..Face4,23.132719208991112,22.49220926799768
7,1,0,0,office_2..Face4,24.49895227464397,23.758428765163483
8,1,0,0,office_2..Face4,24.035871106324738,23.32324687121096
9,1,0,0,office_2..Face4,22.65062209264526,22.039092603041727
10,1,0,0,office_2..Face4,20.88375675437048,20.39164194749215
11,1,0,0,office_2..Face4,19.41601574092541,19.207692375415217
12,1,0,0,office_2..Face4,18.621629372588078,18.596928362727375
1,1,0,0,office_2..Face5,18.07083896804949,17.953147204707186
